"","","15.0000","Dufay OO, vol. 5, p. 52 (V. 2); Montecass. 871, p. 250-251, DTÖ XIV-XV, p. 164, Chw, vol. 69, p. 13-14","","32v-34r","Hymnus","","12","Festum SS. Trinitatis / Feria VII. Ad vesperas vel ad nocturnas","","15012","","3","","O lux beata Trinitas","AH 27,72 und 51,38, RH 13150, CAO 8358, AMo, p. 533","","Dufay, Guillaume/Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 53-54 (V. 2), DTÖ, vol. 53, p. 29,(V. 1.), p. 88 (V. 6. Anonymus).","","34v-37r","Hymnus","","13","In festo corporis Christi. Ad vesperas vel ad processionem / Feria VI in Parasceve","","15013","","3","","Pange lingua gloriosi","AH 50,586, RH 14481, CAO 8367, AR, p. 527, GR, p. 187, 122*, AMo, p. 547,  LU, p. 950","","Dufay, Guillaume/Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 61-62 (V. 2), MilO (??), p. 388-390. 53, 88","","37v-39r","Hymnus","","14","In Nativitate S. Joannis Baptistae. In II. vesperis","","15014","","4","","Ut queant laxis","AH 50,120, V. 1, 2, 4. RH 21039, CAO 8406, AR, p. 733, AMo, p. 992-992, LU, p. 1504","","Dufay, Guillaume/Orto, Marbriano de"
"","","15.0000","Dufay OO, vol. 5, p. 62-63 (V. 1)","","39v-41r","Hymnus","","15","SS. Apostolorum Petri et Pauli","","15015","","4","","Aurea luce et decore roseo","AH 51,216, V. 1, 2, 6. , RH 1596, CAO 8268, AMo, p. 1002-1003","","Dufay, Guillaume/Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 62-63 (V.  4)","","41v-42r","Hymnus","","16","SS. Apostolorum Petri et Pauli","","15016","","4","","Doctor egregie","AH 51,217, V. 4, RH 4791, CAO 8296, AMo, p. 809-810","","Dufay, Guillaume"
"","","15.0000","Dufay OO, vol. 5, p. 55-56 (V. 2), JosquinW, Supplement, p. 1-7 (n. 1) (v. 4, 6, 7).","","42v-46r","Hymnus","","17","Commune festorum BMV. In II. vesperis","","15017","","3","","Ave maris stella","AH 51,140, RH 1889, CAO 8272, AR, p. [117], AMo, p. 704-705","","Dufay, Guillaume/Josquin Desprez"
"","","15.0000","JosquinW, Supplement, p. 7-8.","","46v-47r","Hymnus","","18","Dominica II Passionis seu in Palmis. Ad processionem","","15018","","4","","Nardi Maria pistici","AH 51,73, V. 3, 13, RH 11864","","Josquin Desprez"
"","","15.0000","","","47v-48r","Hymnus","","19","S. Petri ad vincula et in catedra","","15019","","4","","Petrus beatus","AH 50,141, V. 4, 5, 9. RH 14885, CAO 8370, AMo, p. 1063-1064","",""
"","","15.0000","","","48v-50r","Hymnus","","20","In dedicatione S. Michaelis archangeli. In II. vesperis","","15020","","4","","Tibi Christe splendor Patris","AH 50,207, RH 20455, CAO 8403, AMo, p. 1137-1138","",""
"","","15.0000","Dufay OO, vol. 5, p. 58-59 (V. 2), DTÖ XIV-XV, p. 160, Chw vol. 69, p. 20, Dèzes 1927, n. 3","","50v-53r","Hymnus","","21","Omnium Sanctorum","","15021","","4","","Christe Redemptor omnium conserva","AH 51,150, RH 2959, CAO 8276, AMo, p. 1186-1187","","Dufay, Guillaume/Anonymus"
"","","15.0000","Dufay OO, vol. 5, p. 63-65 (V. 2, 4, 6)","","53v-56r","Hymnus","","22","Commune apostolorum et evangelistarum. Extra tempus paschale. In II vesperis","","15022","","3","","Exsultet caelum laudibus","AH 51,125, RH 5832, CAO 8301,  AMo, p. 257, 621, 624","","Dufay, Guillaume/Anonymus"
"Fol. 57v-58r ist handschriftlich eine zusätzliche Strophe über den eigentlichen Text eingetragen.","","15.0000","Dufay OO, vol. 5, p. 66 (V. 2), p. 144 (V. 2), p. 145 (V. 1)","","56v-58r","Hymnus","","23","Commune unius martyris. Extra tempus paschale. In II. vesperis","","15023","","3","","Deus tuorum militum","AH 51,130, V. 1, 3, 5, 7, RH 4534, CAO 8294, AR, p. [13-1,2], 277, AMo, p. 254, 630-631, 639, LU, p. 1126-27","","Dufay, Guillaume/Anonymus"
"In V. 6 statt ""Te trina deitas unaque"" steht ""Te summa trinitas unaque"".","","15.0000","Dufay OO, vol. 5, p. 67-68 (V. 2, 4, 6)","","58v-59r","Hymnus","","24","Commune plurimorum martyrum.  Extra tempus paschale. In II. vesperis","","15024","","3","","Sanctorum meritis","AH 50,204, RH 18607, CAO 8390, AR, p. [36], [38], AMo, p.646, LU, p. 1157-59","","Dufay, Guillaume"
