"13010","2","164v-165r","Arcadelt, Jacques","Domine non secundum peccata nostra","Domine ne memineris","TT2|AB","S: ""Domine tacet"""
"13010","3","165v-167r","Arcadelt, Jacques","Domine non secundum peccata nostra","Adiuva nos deus","STT2|AB","Nach wird durch Segno Wiederholung des ""Domine non secundum"" von 163v-164r angezeigt."
"13011","1","167v-169r","Arcadelt, Jacques","Regina coeli laetare","Regina celi letare","STB+|AB2",""
"13012","1","169v-171r","Beausseron, Jean","Regina coeli laetare","Regina celi letare","ST(T)|AB","T (nachgetr.) ""ex adverso in diapente"", sign. cong."
"13013","1","171v-172r","Morales, Cristóbal de","O sacrum convivium","O sacrum convivium","ST|AA2B+",""
"13013","2","172v-174r","Morales, Cristóbal de","O sacrum convivium","Mens impletur gratia","ST|AA2B",""
"13014","1","175v-177r","Morales, Cristóbal de","Cum natus esset Jesus","Cum natus esset iesus","S(S)T|AB","S ""Canon. In dyapenthe"""
"13014","2","177v-179r","Morales, Cristóbal de","Cum natus esset Jesus","At illi dixerunt","T|AB+",""
"13014","3","179v-181r","Morales, Cristóbal de","Cum natus esset Jesus","Et ecce stella","S(S)T|AB","S sign. cong., aber keine Kanonvorschrift (in diapente?)"
"13015","1","182v-184r","Escobedo, Bartolomeo","Hodie completi sunt dies","Hodie completi sunt dies","S2ST+|AB",""
"13015","2","184v-186r","Escobedo, Bartolomeo","Hodie completi sunt dies","Loquebantur variis linguis","S2ST+|AB",""
"14000","1","01r-03v","","","","","leer (Vorsatzblätter der Restauration 2001)"
"14000","2","04r-05v","","","","","leer (Vorsatzblätter alt - wohl Neubindung von 1722)"
"14000","3","1r","","","","","""PONTIFICATVS / INNOCENTII PAPAE XIII / ANNO SECVNDO / [Wappen Innozenz' XIII.] / FRANCISCVS VIVIANVS [über Rasur] / Magister Cappellae Pontificiae / Pro tempore Existens / Restauravit Anno Dni / MDCCXXII""."
"14000","4","1v","","","","","leer"
"14000","5","2r","","","","","leer; Einträge s. Kollation"
"14000","6","2v","","","","","leer rastriert"
"14000","7","3r","","","","","leer rastriert; unten links ""lib. 20"" (s. Kollation)"
"14000","8","13v","","","","","leer rastriert"
"14000","9","14r","","","","","leer rastriert"
"14000","10","75v","","","","","leer rastriert"
"14000","11","76r","","","","","leer rastriert"
"14000","12","86v","","","","","leer rastriert"
"14000","13","87r","","","","","leer rastriert"
"14000","14","105v","","","","","leer rastriert"
"14000","15","106r","","","","","leer rastriert"
"14000","16","170v","","","","","leer rastriert"
"14000","17","06r-07v","","","","","leer (Nachsatzblätter alt - wohl Neubindung von 1722)"
"14000","18","08r-010v","","","","","leer (Nachsatzblätter, Restauration von 2001)"
"14001","1","3v-5r","","Kyrie paschali","Kyrie","ST|AB",""
"14002","1","5v-6r","","Kyrie tempore paschali","Kyrie","ST|AB",""
"14003","1","6v-8r","Wreede [Brugensis], Johannes","Missa de beata Virgine","Kyrie","ST|AB",""
"14003","2","8v-10r","Wreede [Brugensis], Johannes","Missa de beata Virgine","Gloria / Qui tollis / Quoniam tu solus / (Jesu Christe.) Cum sancto","ST|AB / - / S|B / ST|AB","Tropus: Spiritus et alme"
"14004","1","10v-13r","Anonymus","Missa de beata Virgine","[Gloria] Et in terra","ST|AB","Tropus: Spiritus et alme"
"14005","1","14v-16r","Weerbeke, Gaspar van","Missa Ave Regina coelorum","Kyrie","ST|AB","T: ""Ave Regina coelorum"""
"14005","2","16v-18r","Weerbeke, Gaspar van","Missa Ave Regina coelorum","[Gloria] Et in terra / Qui tollis","ST|AB / -","T nur teilw. textiert"
"14005","3","18v-21r","Weerbeke, Gaspar van","Missa Ave Regina coelorum","[Credo] Patrem / Qui propter / Et resurrexit","ST|AB / S|AB / ST|AB","T, A, B nur teilw. textiert"
"14005","4","21v-24r","Weerbeke, Gaspar van","Missa Ave Regina coelorum","Sanctus / Pleni / Osanna / Benedictus","ST|AB / S|AB / ST|AB / S|AB","Nach dem Benedictus ""Osanna ut supra""."
"14005","5","24v-27r","Weerbeke, Gaspar van","Missa Ave Regina coelorum","Agnus Dei / Agnus Dei / Agnus Dei [dona nobis pacem]","ST|AB / S|AB / ST|AB",""
"14006","1","27v-29r","Dufay, Guillaume","Missa Se la face ay pale","Kyrie / Christe / Kyrie","ST|AB / S|AB / ST|AB [eigentl. ST|AT2]","T ""Se la face aypale"" ""Crescit In duplo""; Ky 2: T ""Tant ie me deduis"" ""dicitur ut primus"""
"14006","2","29r-31r","Dufay, Guillaume","Missa Se la face ay pale","[Gloria] Et in terra / Qui tollis","S(T3)T|AB / -","""Canon: Tenor ter dicitur primo quilibet figura crescit in triplo, 2o in duplo, 3o ut iacet""; T, B nicht vollst. textiert"
"14006","3","31v-34r","Dufay, Guillaume","Missa Se la face ay pale","[Credo] Patrem / Et iterum venturus est / Confiteor","ST|AB / - / -","T ""et dicitur pro ut et in terra""; T, B nicht vollst. textiert"
"14006","4","34v-36r","Dufay, Guillaume","Missa Se la face ay pale","Sanctus / Pleni / Osanna / Benedictus","ST|AB / S|AB / ST|AB / S|AB","Sa: T ""Crescit in duplo"", im T ""Benedictus tacet""."
