"15008","I-MC","871","p. 299 (Originalfol.: 27*)","V. 2, 6","Dufay, Guillaume/Anonymus","Vexilla regis prodeunt"
"15008","I-MOe","X. I.11 (ModB)","6v-7r [9v-10r]","V. 2, 6, ""Dufay""","Dufay, Guillaume/Anonymus","Vexilla regis prodeunt"
"15008","I-TRbc","92","74r (n. 1428)","V. 2","Dufay, Guillaume/Anonymus","Vexilla regis prodeunt"
"15009","I-MOe","X. I.11 (ModB)","7v [10v]","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Ad coenam agni providi"
"15009","I-TRbc","89","377v (n. 745)","V. 2","Dufay, Guillaume/Anonymus","Ad coenam agni providi"
"15010","keine","-","-","-","-","Iesu nostra redemptio"
"15011","BAV","SP B80","184r","V. 2","Dufay, Guillaume/Anonymus","Veni Creator Spiritus"
"15011","D-Mbs","14274","55r","V. 2","Dufay, Guillaume/Anonymus","Veni Creator Spiritus"
"15011","I-Bc","Q15","289v (n. 299)","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Veni Creator Spiritus"
"15011","I-Fn","Magl. XIX.112bis","5v-6r","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Veni Creator Spiritus"
"15011","I-MC","871","p. 305 (Originalfol.: 30*) oder 30r","V. 2","Dufay, Guillaume/Anonymus","Veni Creator Spiritus"
"15011","I-MOe","X. I.11 (ModB)","9v-10r [12v-13r]","V. 2, ""Dufay""","Dufay, Guillaume/Anonymus","Veni Creator Spiritus"
"15011","I-TRbc","92","30r (n. 1389)","nur 2. Vers","Dufay, Guillaume/Anonymus","Veni Creator Spiritus"
"15011","I-TRbc","93","357v, (n. 1823)","V. 2, ohne CT","Dufay, Guillaume/Anonymus","Veni Creator Spiritus"
"15012","BAV","SP B80","184v","V. 2","Dufay, Guillaume/Anonymus","O lux beata Trinitas"
"15012","I-Bc","Q15","290r (n. 300)","V. 2, ""G. Dufay""","Dufay, Guillaume/Anonymus","O lux beata Trinitas"
"15012","I-MC","871","p. 309","V. 2, ""G. Dufay""","Dufay, Guillaume/Anonymus","O lux beata Trinitas"
