"","3.0000","vgl. GR, p. 229-232","","Dominica quinta post Pascha","Dominica iiii. post octavam pasce","127v-131r","Proprium","Hk","25","3025",""
"","3.0000","vgl. GR, p. 239-241","","Litaniae maiores","In letaniis maioribus","131r-134r","Proprium","Hk","26","3026",""
"","3.0000","vgl. GR, p. 242-244","","Ascensio Domini","In die ascensionis","134r-137v","Proprium","Hk","27","3027",""
"","3.0000","vgl. GR, p. 244-246","","Dominica infra octavam Ascensionis","Dominica infra oct. ascensionis","137v-140v","Proprium","Hk","28","3028",""
"fol. 141r Verweise auf Tractus in Sabbato Sancto","3.0000","vgl. GR, p. 246-247","","Dominica Pentecostes vig.","In vigilia pentecost.","140v-142v","Proprium","Hk","29","3029",""
"","4.0000","","","","","","","","","4000",""
"","4.0000","vgl. LU, p. 364-367","","Vigilia Nativitatis Domini ad vesperas","In Die Nativitatis ad longum","4r-10r","Offizium","","","4001",""
"","4.0000","vgl. LU, p. 368-371","","Nativitas Domini ad matutinum","Ad matutinum invitatorium","10r-16v","Offizium","","","4002",""
"","4.0000","vgl. LU, p. 371-378","","Nativitas Domini ad matutinum in primo nocturno","In Primo Nocturno","16v-28r","Offizium","","","4003",""
"","4.0000","vgl. LU, p. 378-384","","Nativitas Domini ad matutinum in secundo nocturno","In Secundo Nocturno","28r-38v","Offizium","","","4004",""
"Vermerk am Schluß: ""Te Deum laudamus: Ad laudes et / per horas diei dicitur ant: / Quem vidistis Pastores: dicite:""","4.0000","vgl. LU, p. 384-392","","Nativitas Domini ad matutinum in tertio nocturno","In Tertio Nocturno","39r-51v","Offizium","","","4005",""
"","4.0000","vgl. AR, p. [142]-[151]","","Officium pro defunctis ad vesperas","Officium mortuorum ad longum ad vesperas","54r-61v","Offizium","","","4006",""
"","4.0000","vgl. AR, p. [152]-[154]","","Officium pro defunctis ad matutinum","Ad matutinum. Invitatorium","61v-66v","Offizium","","","4007",""
"","4.0000","vgl. AR, p. [154]-[161]","","Officium pro defunctis ad matutinum in primo nocturno","In primo n.o","66v-76v","Offizium","","","4008",""
"","4.0000","vgl. AR, p. [161]-[167]","","Officium pro defunctis ad matutinum in secundo nocturno","In ii noct.o","77r-87r","Offizium","","","4009",""
"","4.0000","vgl. AR, p. [167]-[176]","","Officium pro defunctis ad matutinum in tertio nocturno","In 3° noct.o","87r-101r","Offizium","","","4010",""
"","4.0000","vgl. AR, p. [176]-[183]","","Officium pro defunctis ad laudes","Ad laudes","101r-114r","Offizium","","","4011",""
"","5.0000","","","","","","","","","5000",""
"","5.0000","vgl. GR, p. 1*","","Antiphona ad aspersionem altari","In omnibus dominicis","3r-4r","Ordinarium","","1*","5001",""
"","5.0000","vgl. GR, p. 222-223","","Communio ad Dominicam in Albis","","4r-4v","Proprium","","2*","5002",""
"","5.0000","vgl. GR, p. 336-338","","S. Andreae apostoli vig.","In vigilia sancti Andree apostoli. Ad missam","5r-6r","Proprium","","1","5003",""
"","5.0000","vgl. GR, p. 338-340","","S. Andreae apostoli","In die sci Andree apli","6r-7r","Proprium","","2","5004",""
"nur Verweise","5.0000","vgl. GR, p. 350-351","","S. Luciae","In sce Lucie","7r-7v","Proprium","","3","5005",""
"nur Verweise","5.0000","vgl. GR, p. 351-352","","S. Thomae apostoli","In sci Thome apli","7v","Proprium","","4","5006",""
"nur Verweise","5.0000","vgl. GR, p. 357","","S. Felicis","In sci Felicis","7v","Proprium","","5","5007",""
"nur Verweise","5.0000","vgl. GR, p. 358","","S. Marcelli I.","In sci Marcelli papa et mart.","7v","Proprium","","6","5008",""
